mean_ndvi,mean_ndbi,mean_ndwi,mean_emissivity,mean_albedo
0.1067318948374373,-0.0074490290397179,-0.1277746315898871,0.9866995404265212,0.1820881342963773
0.095367603653439,-0.0219873465411162,-0.1102288511870787,0.9866570772045932,0.1442148797503541
0.2113267728459962,-0.0966761362375605,-0.2135054508591681,0.987391620139802,0.1657206366596461
0.1927804423826723,-0.0773036872471914,-0.1987531792189604,0.987243943302808,0.167187058280788
0.1096430937042674,-0.025155717231879,-0.1244926717306191,0.986723723205538,0.1652807986160772
0.0683654669123835,0.0067605644174177,-0.0924451928748746,0.9865028335433432,0.1712732563062607
0.1004515859502118,-0.0317832232310067,-0.1093077922735226,0.9866629032224532,0.1257565991443395
0.170834238308997,-0.0233156505076655,-0.1833058173393735,0.9871152169809184,0.1859819959065474
0.1142261441515249,-0.0311671294527296,-0.1277451032591814,0.98675691691232,0.1598302589043497
0.1467102145624366,0.009549771026495,-0.1673421450941193,0.9869410530761892,0.2077007029247806
0.2196341077211289,-0.0712034355177636,-0.2292902918842594,0.9874887029905636,0.1952142825132046
0.1040422258918801,0.0389827461602275,-0.1369671483733403,0.986686831899361,0.2209332718993423
0.1796467891490007,-0.0497757034412443,-0.1876442465398872,0.9871693232451216,0.1819929662234178
0.2756570106802101,-0.1087453460797067,-0.2565658015278743,0.9879135642733756,0.1404588044630117
0.1718512011176564,-0.044268072154519,-0.1855400627607747,0.9871043487314998,0.1941151244876904
0.1789767991581384,-0.0577880876236691,-0.1877623420834627,0.9871998199398594,0.176871695817766
0.2108003847322745,-0.0759907940271367,-0.2204336178368429,0.9874069075374204,0.1878868933089748
0.2458872063244773,-0.0901575410980661,-0.2482854497831985,0.987671783123202,0.2023459485770071
0.0995950061386693,-0.0229052457546219,-0.1157107850333499,0.9866799872836816,0.175520742605849
0.1318148656027003,-0.0336171787819503,-0.1430867856896393,0.9868766237389522,0.1678945758464034
0.2121970547204465,-0.054808793195836,-0.2234503417897353,0.9874046837882514,0.1940542683167106
0.2148212953954723,-0.0600006959952354,-0.2248967854389713,0.987419967591129,0.2088461288871567
0.1352129716219726,-0.0055828927434822,-0.1465747081251963,0.9868672798392308,0.1806440614830098
0.202242262825293,-0.0643539987364271,-0.2043433427147228,0.9873263644239384,0.178946914709482
0.2437928176111574,-0.0950678047965979,-0.2366696582595874,0.9876636264789882,0.1848668407656612
0.2727694884099397,-0.0996803253892659,-0.2648793400895628,0.9878937046380478,0.186718589183165
0.0926552896127369,-0.0006832778399839211,-0.1156312225435972,0.9866228718626028,0.1888332190778952
0.2213963603891631,-0.0944957406956591,-0.2164013598290897,0.9874800381723792,0.1639192948654391
0.1261587352797875,-0.0330619623842802,-0.1383361988627855,0.9868204094702794,0.1723380101239377
0.1345734012908188,-0.0091333793742888,-0.1528103275164281,0.98686052927281,0.2123366531350483
0.2345420764499114,-0.0745192703273227,-0.2414675355768255,0.9875680387059064,0.1897857587954516
0.1348783028562944,-0.0844989978301355,-0.1246298646371222,0.9869483024357792,0.0981537852584818
0.2007541141463264,-0.0664916980351826,-0.2075761006691715,0.987308769396987,0.1692199313145871
0.1826023809870714,-0.024547580656516,-0.19912318162327,0.9871900350282502,0.207211388771707
0.1813036046790477,-0.0737438936452411,-0.1851404344600303,0.9871887736894048,0.1565075374519571
0.1602625904403964,-0.0275419012801166,-0.172830848768357,0.9870229413924316,0.1971003534309185
0.0596169226240345,0.0090986949766881,-0.086694441328169,0.9864627540403248,0.1720897368254249
0.1593114321399306,-0.0293173009124893,-0.1759370038125965,0.9870469447930956,0.217071718463173
0.2675249616662518,-0.1121973528466807,-0.2572861703985082,0.9878825778590672,0.1738973366533011
0.1259987813018578,-0.0282002790833261,-0.1407684394438053,0.98682443824352,0.1628133633797427
0.0925119036550567,0.0337946502579673,-0.1183953018878418,0.9866201314991716,0.19343678282343
0.2627899097802457,-0.1204488166442377,-0.2495302152110062,0.9878434102399268,0.1698297279069356
0.2003778235260734,-0.0871386384112127,-0.1977797789913699,0.98729911264986,0.16164277166109
0.2858601706495854,-0.1481529986215393,-0.2716638790612683,0.9880233119525366,0.1824935627229585
0.1381550299089923,0.0142274419204078,-0.1664219700451423,0.9868819660520444,0.209198749434585
0.1374032365328343,-0.0325464007711936,-0.1558517086066484,0.986898123089074,0.1766741530824915
0.332048919053397,-0.1830042554793094,-0.3046262675227608,0.9884521287671504,0.1596041446055594
0.224533174613652,-0.1021906950103883,-0.2195933004532246,0.9874902910844252,0.1567256332902436
0.1364431528361596,-0.0470740891638251,-0.1456227516637634,0.9869058676849908,0.1605390750336207
0.2285532376435946,-0.0707631264063036,-0.231772031303384,0.9875192400251368,0.2106100530462862
0.1267259214034877,-0.0424028931719915,-0.1392418476528488,0.9868209028775452,0.1676387162179239
0.0740641920326013,-0.0070345868221921,-0.0977390712477012,0.9865285448156136,0.1738561479284702
0.1707459633091093,-0.0353256624471067,-0.1796401954457064,0.9871001764917824,0.1881808700175625
